,title,year,bond,boactual,boadjusted,budgetactual,budgetadjusted,creditlength,song,artist,lyrics
11,For Your Eyes Only,1981,Roger Moore,194.9,449.4,28,60.2,167,For Your Eyes Only,Sheena Easton,"For your eyes only, can see me through the night
 For your eyes only, I never need to hide
 You can see so much in me
 So much in me that's new
 I never felt, until I looked at you
 For your eyes only, only for you
 You see what no one else can see
 Now I'm breaking free
 For your eyes only, only for you
 The love I know you need in me
 The fantasy you freed in me
 Only for you, only for you
 For your eyes only, the nights are never cold
 You really know me, that's all I need to know
 Maybe I'm an open book
 Because I know you're mine
 But you won't need to read between the lines
 For your eyes only, only for you
 You see what no one else can see
 Now I'm breaking free
 For your eyes only, only for you
 The passions that collide in me
 The wild abandoned side of me
 Only for you, for your eyes only"
12,Octopussy,1983,Roger Moore,183.7,373.8,27.5,53.9,182,All Time High,Rita Coolidge,"All I wanted was a sweet distraction for an hour or two
 Had no intention to do the things we've done
 Funny how it always goes with love
 When you don't look, you find
 But then we're two of a kind, we move as one
 We're an all time high
 We'll change all that's gone before
 Doing so much more than falling in love
 On an all time high
 We'll take on the world and wait
 So hold on tight, let the flight begin
 I don't want to waste a waking moment
 I don't want to sleep
 I'm in so strong and so deep, and so are you
 In my time
 I've said these words before
 But now I realize
 My heart was telling me lies
 For you they're true
 We're an all time high
 We'll change all that's gone before
 Doing so much more than falling in love
 On an all time high
 We'll take on the world and wait
 So hold on tight
 Let the flight begin
 So hold on tight
 Let the flight begin
 We're an all time high"
13,A View to a Kill,1985,Roger Moore,152.4,275.2,30,54.5,200,A View to a Kill,Duran Duran,"Meeting you with a view to a kill
 Face to face in secret places, feel the chill
 Nightfall covers me, but you know the plans I'm making
 Still overseas, could it be the whole Earth opening wide
 A sacred why, a mystery gaping inside
 A week is why, until we...
 Dance into the fire
 That fatal kiss is all we need
 Dance into the fire
 To fatal sounds of broken dreams
 Dance into the fire
 That fatal kiss is all we need
 Dance into the fire
 The choice for you is the view to a kill
 Between the shades assassination standing still
 Earth's crystal tears, the fall of snowflakes on your body
 First time in years to drench your skin in lover's rosy stain
 A chance to find the phoenix for the flame
 A chance to die, but can we...
 Dance into the fire
 That fatal kiss is all we need
 Dance into the fire
 To fatal sounds of broken dreams
 Dance into the fire
 That fatal kiss is all we need
 Dance into the fire
 When all we see is the view to a kill"
14,The Living Daylights,1987,Timothy Dalton,191.2,313.5,40,68.8,169,The Living Daylights,A-Ha,"Hey driver, where we going?
 I swear my nerves are showing
 Set your hopes up way too high
 The living's in the way we die
 Comes the morning and the headlights fade away
 Hundred thousand people, I'm the one they frame
 I've been waiting long for one of us to say
 ""Save the darkness, let it never fade away""
 Oh, the living daylights
 Oh, the living daylights
 All right, hold on tight now
 It's down, down to the wire
 Set your hopes up way too high
 The living's in the way we die
 Comes the morning and the headlights fade away
 Hundred thousand changes, everything's the same
 I've been waiting long for one of us to say
 ""Save the darkness, let it never fade away""
 Oh, the living daylights
 Oh, the living daylights
 Oh, the living daylights
 Comes the morning and the headlights fade away
 Hundred thousand people, I'm the one they frame
 Oh, the living daylights
 Oh, the living daylights
 Oh, the living daylights
 Set your hopes up way too high
 The living's in the way we die
 Set your hopes up way too high
 The living's in the way we die
 Set your hopes up way too high
 The living's in the way we die
 Set your hopes up way too high
 The living's in the way we die
 Set your hopes up way too high
 The living's in the way we die"
15,Licence to Kill,1989,Timothy Dalton,156.2,250.9,36,56.7,173,Licence to Kill,Gladys Knight,"Ooooh
 Ah-aaah
 I feel, I need, I've got to hold on to your love
 Ooooh
 Hey baby, thought you were the one who tried to run away
 Ohh, baby, wasn't I the one who made you want to stay?
 Please don't bet that you'll ever escape me
 Once I get my sights on you
 I got a licence to kill
 And you know I'm going straight for your heart
 Got a licence to kill
 Anyone who tries to tear us apart
 License to kill
 Hey baby, think you need a friend to stand here by your side?
 Yes you do
 Ohh, baby, now you can depend on me to make things right
 Please don't bet that you'll ever escape me
 Once I get my sights on you
 I got a licence to kill
 And you know I'm going straight for your heart
 Got a licence to kill
 Anyone who tries to tear us apart
 Got a licence to kill
 And you know I'm going straight for your heart
 Got a licence to kill
 Anyone who tries to tear us apart
 Say that somebody tries to make a move on you
 In the blink of an eye, I will be there too
 And they better know why I'm gonna make them 'em pay
 'Til their dying day
 'Til their dying day
 'Til their dying day
 Got a licence to kill
 And you know I'm going straight for your heart, baby
 Got a licence to kill
 Anyone who tries to tear us apart
 I got a licence to kill
 And you know I'm heading straight for your heart
 Got a licence to kill
 Anyone who tries to tear us apart
 Licence to kill
 Gotta hold onto your loving
 Licence to kill
 Ooh, kill"
16,GoldenEye,1995,Pierce Brosnan,352,518.5,60,76.9,158,GoldenEye,Tina Turner,"See reflections on the water
 More than darkness in the depths
 See him surface in every shadow
 On the wind I feel his breath
 Golden eye I found his weakness
 Golden eye he'll do what I please
 Golden eye no time for sweetness
 But a bitter kiss will bring him to his knees
 You'll never know how I watched you
 From the shadows as a child
 You'll never know how it feels to be the one
 Who's left behind
 You'll never know the days, the nights
 The tears, the tears I've cried
 But now my time has come
 And time, time is not on your side
 See him move through smoke and mirrors
 Feel his presence in the crowd
 Other girls they gather around him
 If I had him I wouldn't let him out
 Golden eye not lace or leather
 Golden chains take him to the spot
 Golden eye I'll show him forever
 It'll take forever to see
 What I've got
 You'll never know how I watched you
 From the shadows as a child
 You'll never know how it feels to get so close
 And be denied
 It's a gold and honey trap
 I've got for you tonight
 Revenge it's a kiss, this time I won't miss
 Now I've got you in my sight
 With a Golden eye
 Golden, golden eye
 With a golden eye
 Golden eye"
17,Tomorrow Never Dies,1997,Pierce Brosnan,333,463.2,110,133.9,193,Tomorrow Never Dies,Sheryl Crow,"Darling, I'm killed
 I'm in a puddle on the floor
 Waiting for you to return
 Oh, what a thrill
 Fascinations galore
 How you tease
 How you leave me to burn
 It's so deadly, my dear
 The power of having you near
 Until that day
 Until the world falls away
 Until you say there'll be no more goodbyes
 I see it in your eyes
 Tomorrow never dies
 Darling, you've won
 It's no fun
 Martinis, girls and guns
 It's murder on our love affair
 But you bet your life, every night
 While you're chasing the morning light
 You're not the only spy out there
 It's so deadly, my dear
 The power of wanting you near
 But until that day
 Until the world falls away
 Until you say there'll be no more goodbyes
 I see it in your eyes
 Tomorrow never dies
 Until that day
 Until the world falls away
 Until you say there'll be no more goodbyes
 I see it in your eyes
 Until that day
 Until that day
 Until that day..."
18,The World Is Not Enough,1999,Pierce Brosnan,361.8,439.5,135,158.3,176,The World is Not Enough,Garbage,"I know how to hurt, I know how to heal
 I know what to show and what to conceal
 I know when to talk and I know when to touch
 No one ever died from wanting too much
 The world is not enough
 But it is such a perfect place to start, my love
 And if you're strong enough
 Together we can take the world apart, my love
 People like us know how to survive
 There's no point in living if you can't feel alive
 We know when to kiss and we know when to kill
 If we can't have it all, then nobody will
 The world is not enough
 But it is such a perfect place to start, my love
 And if you're strong enough
 Together we can take the world apart, my love
 I feel safe
 I feel scared
 I feel ready
 And yet unprepared
 The world is not enough
 But it is such a perfect place to start, my love
 And if you're strong enough
 Together we can take the world apart, my love
 The world is not enough
 The world is not enough
 No, nowhere near enough
 The world is not enough"
19,Die Another Day,2002,Pierce Brosnan,432,465.4,142,154.2,197,Die Another Day,Madonna,"I'm gonna wake up, yes and no
 I'm gonna kiss some part of
 I'm gonna keep this secret
 I'm gonna close my body now
 I guess, die another day
 I guess, die another day
 I guess, die another day
 I guess, die another day
 I guess I'll die another day 
 I guess I'll die another day 
 I guess I'll die another day 
 I guess I'll die another day
 Sigmund Freud
 Analyze this
 Analyze this
 Analyze this, this, this, this, this
 I'm gonna break the cycle
 I'm gonna shake up the system
 I'm gonna destroy my ego
 I'm gonna close my body now
 I think I'll find another way
 There's so much more to know
 I guess I'll die another day
 It's not my time to go
 For every sin, I'll have to pay
 A time to work, a time to play
 I think I'll find another way
 It's not my time to go
 I'm gonna avoid the cliché
 I'm gonna suspend my senses
 I'm gonna delay my pleasure
 I'm gonna close my body now
 I guess, die another day
 I guess I'll die another day
 I guess, die another day
 I guess I'll die another day
 I think I'll find another way
 There's so much more to know
 I guess I'll die another day
 It's not my time to go
 Uh! Uh!
 I need to lay down
 I guess, die another day
 I guess I'll die another day
 I guess, die another day
 I guess I'll die another day
 Another day
 Another day
 Another day
 Another day
 Another day
 Another day
 Another day"
20,Casino Royale,2006,Daniel Craig,594.2,581.5,150,145.3,198,You Know My Name,Chris Cornell,"If you take a life do you know what you'll give?
 Odds are, you won't like what it is
 When the storm arrives, would you be seen with me?
 By the merciless eyes I've deceived?
 I've seen angels fall from blinding heights
 But you yourself are nothing so divine
 Just next in line
 Arm yourself because no one else here will save you
 The odds will betray you
 And I will replace you
 You can't deny the prize, it may never fulfill you
 It longs to kill you
 Are you willing to die?
 The coldest blood runs through my veins
 You know my name
 If you come inside things will not be the same
 When you return to the night
 And if you think you've won
 You never saw me change
 The game that we have been playing
 I've seen this diamond cut through harder men
 Than you yourself, but if you must pretend
 You may meet your end
 Arm yourself because no one else here will save you
 The odds will betray you
 And I will replace you
 You can't deny the prize, it may never fulfill you
 It longs to kill you
 Are you willing to die?
 The coldest blood runs through my veins
 Try to hide your hand
 Forget how to feel
 Life is gone with just a spin of the wheel
 Arm yourself because no one else here will save you
 The odds will betray you
 And I will replace you
 You can't deny the prize, it may never fulfill you
 It longs to kill you
 Are you willing to die?
 The coldest blood runs through my veins
 You know my name
 You know my name
 You know my name
 You know my name
 You know my name
 You know my name
 You know my name"
21,Quantum of Solace,2008,Daniel Craig,586.1,514.2,200,181.4,200,Another Way to Die,Jack White,"Another ringer with the slick trigger finger for Her Majesty
 Another one with the golden tongue poisoning your fantasy
 Another bill from a killer, turned a thriller to a tragedy
 Yeah, a door left open, a woman walking by
 A drop in the water, a look in your eye
 A phone on the table, a man on your side
 Or someone that you think that you can trust
 It's just another way to die
 Another tricky little gun giving solace to the one
 That'll never see the sun shine
 Another inch of your life sacrificed for your brother, in the nick of time
 Another dirty money, heaven sent honey, turning on a dime
 Well, a door left open, a woman walking by
 A drop in the water, a look in your eye
 A phone on the table, a man on your side
 Or someone that you think that you can trust
 It's just another way to die
 It's just another
 Hey!
 It's just another
 You're nothing to me, die
 It's just another
 Shoot 'em, bang bang!
 Another girl with her finger on the world
 Singing to you what you wanna hear
 Another gun thrown down in surrender took away your fear, hey
 Another man there, he stands right behind you looking in the mirror
 A door left open, a woman walking by
 A drop in the water, a look in the eye
 A phone on the table, a man on your side
 Or someone that you think that you can trust
 It's just another way to die
 It's just another
 It's just another
 It's just another way!
 Shoot 'em up, bang bang
 Hey! Hey!
 It's just another
 Yeah! Yeah!
 It's just another
 It's just another
 It's just another
 It's just another day!
 Bang bang bang bang"
22,Skyfall,2012,Daniel Craig,1108.6,943.5,150,128,232,Skyfall,Adele,"This is the end
 Hold your breath and count to ten
 Feel the Earth move, and then
 Hear my heart burst again
 For this is the end
 I've drowned and dreamt this moment
 So overdue, I owe them
 Swept away, I'm stolen
 Let the sky fall
 When it crumbles
 We will stand tall
 Face it all together
 Let the sky fall
 When it crumbles
 We will stand tall
 Face it all together
 At Skyfall
 At Skyfall
 Skyfall is where we start
 A thousand miles and poles apart
 Where worlds collide and days are dark
 You may have my number
 You can take my name
 But you'll never have my heart
 Let the sky fall
 When it crumbles
 We will stand tall
 Face it all together
 Let the sky fall
 When it crumbles
 We will stand tall
 Face it all together
 At Skyfall
 Let the sky fall
 When it crumbles
 We will stand tall
 Let the sky fall
 When it crumbles
 We will stand tall
 Where you go I go
 What you see I see
 I know I'd never be me
 Without the security
 Of your loving arms
 Keeping me from harm
 Put your hand in my hand
 And we'll stand
 Let the sky fall
 When it crumbles
 We will stand tall
 Face it all together
 Let the sky fall
 When it crumbles
 We will stand tall
 Face it all together
 At Skyfall
 Let the sky fall
 We will stand tall
 At Skyfall"
23,Spectre,2015,Daniel Craig,880.7,725.5,245,202,234,Writing's on the Wall,Sam Smith,"I've been here before
 But always hit the floor
 I've spent a lifetime runnin'
 And I always get away
 But with you I'm feeling something
 That makes me want to stay
 I'm prepared for this
 I never shoot to miss
 But I feel like a storm is coming
 If I'm gonna make it through the day
 Then there's no more use in runnin'
 This is something I gotta face
 If I risk it all
 Could you break my fall?
 How do I live? How do I breathe?
 When you're not here I'm suffocating
 I wanna feel love run through my blood
 Tell me is this where I give it all up?
 For you I have to risk it all
 Cause the writing's on the wall
 A million shards of glass
 That haunt me from my past
 As the stars begin to gather
 And the light begins to fade
 When all hope begins to shatter
 Know that I won't be afraid
 If I risk it all
 Could you break my fall?
 How do I live? How do I breathe?
 When you're not here I'm suffocating
 I wanna feel love, run through my blood
 Tell me is this where I give it all up?
 For you I have to risk it all
 Cause the writing's on the wall
 The writing's on the wall
 How do I live? How do I breathe?
 When you're not here I'm suffocating
 I wanna feel love, run through my blood
 Tell me is this where I give it all up?
 How do I live? How do I breathe?
 When you're not here I'm suffocating
 I wanna feel love run through my blood
 Tell me is this where I give it all up?
 For you I have to risk it all
 Cause the writing's on the wall"
24,No Time to Die,2020,Daniel Craig,0,0,250,212.8,0,No Time to Die,Billie Eilish,"I should have known
 I'd leave alone
 Just goes to show
 That the blood you bleed is just the blood you owe
 We were a pair
 But I saw you there
 Too much to bear
 You were my life, but life is far away from fair
 Was I stupid to love you?
 Was I reckless to help?
 Was it obvious to everybody else?
 That I'd fallen for a lie
 You were never on my side
 Fool me once, fool me twice
 Are you death or paradise?
 Now you'll never see me cry
 There's just no time to die
 I let it burn
 You're no longer my concern, mmm
 Faces from my past return
 Another lesson yet to learn
 That I'd fallen for a lie
 You were never on my side
 Fool me once, fool me twice
 Are you death or paradise?
 Now you'll never see me cry
 There's just no time to die
 No time to die, mmm
 No time to die, ooh
 Fool me once, fool me twice
 Are you death or paradise?
 Now you'll never see me cry
 There's just no time to die"
